"Plot","Longitude","Latitude","Area","Date","Precision","Region","bio06","bio14","pH","Sand"
1,-5.03867625089213,43.2293412138884,80,2017-07-11,"0,1x0,1 Km","Cantabrian Mountains",2.3,49,5.39,64.4917887261424
2,-5.0429335896085,43.231084116658,100,2017-07-11,"0,1x0,1 Km","Cantabrian Mountains",1.4,53,5.31,46.1013295005386
3,-5.04507074801259,43.2334951019447,100,2017-07-11,"0,1x0,1 Km","Cantabrian Mountains",2.2,49,5.43,65.9358288770047
4,-5.04729509887122,43.2333562519418,100,2017-07-11,"0,1x0,1 Km","Cantabrian Mountains",2.2,49,5.41,71.5774514448133
5,-5.05072412889753,43.2335199177272,150,2017-07-11,"0,1x0,1 Km","Cantabrian Mountains",1.7,51,5.35,50.4754358161648
6,-4.80886625827322,43.1388129424613,100,2017-06-22,"0,1x0,1 Km","Cantabrian Mountains",-0.1,36,6.12,70.4558204768545
7,-4.81687719437906,43.1369480957979,100,2017-06-22,"0,1x0,1 Km","Cantabrian Mountains",-1.2,38,6.33,73.7662337662307
8,-4.81556499253574,43.1324936567559,100,2017-06-22,"0,1x0,1 Km","Cantabrian Mountains",0,38,6.41,75.4333576110731
9,-4.80270259890634,43.1311663086898,100,2017-06-22,"0,1x0,1 Km","Cantabrian Mountains",0.5,37,6.24,70.1324503311252
10,-4.80873580976388,43.1364738159718,80,2017-06-22,"0,1x0,1 Km","Cantabrian Mountains",-0.1,36,6.03,65.8703071672336
11,-4.88749176071678,43.133382428676,80,2017-06-23,"0,1x0,1 Km","Cantabrian Mountains",-1.1,42,6.04,55.4337050805446
12,-4.91956508968714,43.1548647411105,100,2017-07-23,"0,1x0,1 Km","Cantabrian Mountains",0.8,41,6.1,39.7324414715722
13,-4.90965102571729,43.1631257524221,80,2017-06-23,"0,1x0,1 Km","Cantabrian Mountains",0.9,42,6.78,53.9498018494056
14,-4.90577964822072,43.1683769182287,70,2017-06-23,"0,1x0,1 Km","Cantabrian Mountains",1.5,40,6.7,45.1612903225804
15,-4.91364461596346,43.1574762095466,100,2017-06-23,"0,1x0,1 Km","Cantabrian Mountains",0.7,40,6.13,41.8364073777063
16,-4.74675087711205,43.2455093709534,100,2017-07-04,"0,1x0,1 Km","Cantabrian Mountains",-0.4,61,6.02,49.7388684298628
17,-4.73590845961793,43.2354273981547,120,2017-07-04,"0,1x0,1 Km","Cantabrian Mountains",-0.4,63,5.24,40.7159353348732
18,-4.77063122872087,43.2330671747142,80,2017-07-04,"0,1x0,1 Km","Cantabrian Mountains",-0.2,62,6.29,46.9879518072298
19,-4.7789788358383,43.2325774507864,200,2017-08-04,"0,1x0,1 Km","Cantabrian Mountains",-0.4,66,6.21,54.128440366973
20,-4.77474746231473,43.2306261963212,80,2017-07-04,"0,1x0,1 Km","Cantabrian Mountains",-0.2,62,5.98,53.6858355847161
21,-5.04558696582204,43.1664390670478,100,2017-07-07,"0,1x0,1 Km","Cantabrian Mountains",-0.1,40,5.95,44.8727057430433
22,-5.02861188227601,43.1686953908999,200,2017-07-07,"0,1x0,1 Km","Cantabrian Mountains",-0.2,42,5.81,43.5912129894936
23,-5.02114107725355,43.1700792803578,100,2017-07-07,"0,1x0,1 Km","Cantabrian Mountains",-0.5,43,5.69,29.596662030598
24,-5.0380815889644,43.1612154099665,100,2017-07-07,"0,1x0,1 Km","Cantabrian Mountains",0.6,39,5.72,46.6734382935499
25,-5.04160823274453,43.1574156579806,200,2017-07-07,"0,1x0,1 Km","Cantabrian Mountains",0.3,38,5.62,39.7077321494634
216,-7.69459371741965,41.4408545236963,25,2017-06-19,"0,1x0,1 km","Northern Portugal",1.1,14,5.19,83.0382775119601
217,-7.69438688237589,41.4404758200297,25,2017-06-19,"0,1x0,1 km","Northern Portugal",1.1,14,5.06,85.3226662
218,-7.69413511058113,41.4330129737711,25,2017-06-22,"0,1x0,1 km","Northern Portugal",1.1,14,4.92,83.5316946959865
219,-7.69405873869886,41.4331151384944,25,2017-06-22,"0,1x0,1 km","Northern Portugal",1.1,14,4.91,83.7750135208207
220,-7.69357692525683,41.4327386732589,25,2017-06-22,"0,1x0,1 km","Northern Portugal",1.1,14,4.93,81.3494809688541
221,-7.69331540343358,41.4325963016666,25,2017-06-22,"0,1x0,1 km","Northern Portugal",1.1,14,5.01,82.9145972138075
222,-7.69388381893843,41.4335094541482,25,2017-06-22,"0,1x0,1 km","Northern Portugal",1.1,14,4.97,73.4748010610066
223,-7.69417815280522,41.4334433954595,25,2017-06-22,"0,1x0,1 km","Northern Portugal",1.1,14,5.03,82.8392857142853
224,-7.69006063760437,41.4312617104065,25,2017-06-22,"0,1x0,1 km","Northern Portugal",1.3,14,5.01,81.1912225705341
225,-7.68966689284578,41.4309446565263,25,2017-06-22,"0,1x0,1 km","Northern Portugal",1.3,14,5.1,80.3536345776044
226,-7.68666788226224,41.4439425681692,25,2017-06-23,"0,1x0,1 km","Northern Portugal",1.3,14,5.03,54.2619542619544
227,-7.68591474542357,41.4444505171067,25,2017-06-23,"0,1x0,1 km","Northern Portugal",1.3,14,5.02,77.6629680998631
228,-7.68641289127725,41.4442230928997,25,2017-06-23,"0,1x0,1 km","Northern Portugal",1.3,14,4.91,77.7518248175191
229,-7.68529064202632,41.4439267616498,25,2017-06-23,"0,1x0,1 km","Northern Portugal",1.3,14,4.99,78.3555259653803
230,-7.69682196131028,41.4442028139423,25,2017-06-23,"0,1x0,1 km","Northern Portugal",1.2,14,5.05,83.2157394843952
231,-7.69649125214449,41.4437661566458,25,2017-06-23,"0,1x0,1 km","Northern Portugal",1.2,14,5.35,81.1543942992863
232,-7.69626896743649,41.4435051379454,25,2017-06-23,"0,1x0,1 km","Northern Portugal",1.2,14,5.29,82.055016181226
233,-7.69744675910173,41.4439071331374,25,2017-06-23,"0,1x0,1 km","Northern Portugal",1.2,14,5.23,80.341772151899
234,-7.67418904989253,41.4289918377265,25,2017-06-23,"0,1x0,1 km","Northern Portugal",1.2,17,5.35,78.0380673499302
235,-7.67400142147659,41.429044496499,25,2017-06-25,"0,1x0,1 km","Northern Portugal",1.2,17,5.09,56.405454
236,-7.6793049869784,41.4237772923747,25,2017-06-25,"0,1x0,1 km","Northern Portugal",1.3,16,5.25,52.9318368464281
237,-7.69287669370008,41.4722488777901,25,2017-06-25,"0,1x0,1 km","Northern Portugal",0,19,5.21,70.2797276
238,-7.69431925768753,41.4720008048565,25,2017-06-25,"0,1x0,1 km","Northern Portugal",0,19,5.09,80.1639344262292
239,-7.69929509941474,41.4759118955938,25,2017-06-25,"0,1x0,1 km","Northern Portugal",0.1,20,4.95,78.7712009106438
240,-7.69852701667589,41.4760513877376,25,2017-06-25,"0,1x0,1 km","Northern Portugal",0.1,20,4.88,86.2766705744434
243,-6.72160821001005,41.8474447751788,25,2017-06-15,"0,1x0,1 km","Northern Portugal",1.9,16,5.57,66.7422012948789
244,-6.72847244959712,41.8426744212325,25,2017-06-15,"0,1x0,1 km","Northern Portugal",2,15,5.74,55.0312304809499
245,-6.8221499829541,41.8847043300152,25,2017-06-13,"0,1x0,1 km","Northern Portugal",0.6,21,5.83,56.5941143808995
246,-6.8238363217109,41.8846931332262,25,2017-06-13,"0,1x0,1 km","Northern Portugal",0.6,21,6.11,67.1758334
247,-6.86261804933064,41.8781796771775,25,2017-06-13,"0,1x0,1 km","Northern Portugal",1.2,18,5.99,78.51294
248,-6.70770806142292,41.8496959170658,25,2017-05-30,"0,1x0,1 km","Northern Portugal",1.9,16,6.12,81.2277352
249,-6.77081729835138,41.7976709841233,25,2017-06-16,"0,1x0,1 km","Northern Portugal",1.6,18,6.41,78.2347688
250,-6.88866655731197,41.7822284630636,25,2017-06-20,"0,1x0,1 km","Northern Portugal",0.9,20,6.41,83.2197773
251,-6.89882838316264,41.7670888718466,25,2017-06-20,"0,1x0,1 km","Northern Portugal",0.6,21,6.44,81.073597622
252,-6.89184140410243,41.7768440593259,25,2017-06-20,"0,1x0,1 km","Northern Portugal",0.6,20,6.32,79.4383894
253,-6.76674365512814,41.9352800708232,25,2017-06-25,"0,1x0,1 km","Northern Portugal",-0.4,19,5.61,83.3134593
254,-6.76809843227006,41.9380089926341,25,2017-06-25,"0,1x0,1 km","Northern Portugal",-0.3,18,5.32,80.4198393
258,-6.91790873541736,41.757091976942,25,2017-06-18,"0,1x0,1 km","Northern Portugal",0.1,23,5.51,77.8652618
259,-6.92462091655486,41.7494337104537,25,2017-06-18,"0,1x0,1 km","Northern Portugal",0,21,5.3,82.08804194
261,-6.91575200568504,41.7451714093658,25,2017-06-18,"0,1x0,1 km","Northern Portugal",0.2,21,5.36,76.423266
262,-6.91417589150851,41.7417944164008,25,2017-06-18,"0,1x0,1 km","Northern Portugal",0.2,21,5.38,84.202708
265,-7.04294904617869,41.8625175494703,25,2017-04-12,"0,1x0,1 km","Northern Portugal",0.9,22,5.48,80.2286423
266,-7.04260934202481,41.863051782909,25,2017-04-12,"0,1x0,1 km","Northern Portugal",0.9,22,5.71,73.2198256
267,0.363697772145278,42.5870313899001,25,2017-07-11,NA,"Spanish Pyrenees",-5.1,52,7.13,68.0219780219776
268,0.367806798779681,42.5780321907887,25,2017-07-04,NA,"Spanish Pyrenees",-5.1,53,7.15,80.1832460732981
269,0.368437847623276,42.5782117172642,25,2017-07-04,NA,"Spanish Pyrenees",-5.1,53,7.02,82.7049180327865
270,0.372554387116671,42.5777303109277,25,2017-07-04,NA,"Spanish Pyrenees",-5.1,53,7.01,65.4918032786886
271,0.37561792888628,42.5771537567075,25,2017-07-04,NA,"Spanish Pyrenees",-5.6,53,7,77.212276214834
272,0.370385098495937,42.578397509867,25,2017-07-04,NA,"Spanish Pyrenees",-5.1,53,6.97,81.818770226538
273,0.371817401078142,42.5794268479473,25,2017-07-04,NA,"Spanish Pyrenees",-5.1,53,6.91,79.4700432365616
274,0.364384610148792,42.5767011360633,25,2017-07-11,NA,"Spanish Pyrenees",-4.4,52,6.92,80.072799470549
275,0.369187563352131,42.5765238310987,25,2017-07-11,NA,"Spanish Pyrenees",-5.1,53,6.96,80.746452806911
276,0.367442889390213,42.5816806856044,25,2017-07-11,NA,"Spanish Pyrenees",-5.1,53,6.89,79.28231384
277,0.352136202297565,42.5884421326679,25,2017-07-11,NA,"Spanish Pyrenees",-3.6,47,6.72,80.322580645161
278,0.362768912688373,42.5790537530856,25,2017-07-04,NA,"Spanish Pyrenees",-4.4,52,6.74,79.055016181227
279,0.363037432719585,42.5792889827216,25,2017-07-04,NA,"Spanish Pyrenees",-4.4,52,6.82,64.7556390977446
280,0.365737393610369,42.5814607208504,25,2017-07-11,NA,"Spanish Pyrenees",-4.4,52,6.64,67.9487179487171
281,0.365565207334242,42.5812046560908,25,2017-07-11,NA,"Spanish Pyrenees",-4.4,52,6.66,83.3381924198262
282,0.36077750585026,42.579859614392,25,2017-07-04,NA,"Spanish Pyrenees",-4.4,52,6.61,84.6130412
283,0.355620398345749,42.5802540529924,25,2017-07-04,NA,"Spanish Pyrenees",-3.3,49,6.62,81.1111111111114
284,0.355307382596138,42.5805513717907,25,2017-07-04,NA,"Spanish Pyrenees",-3.3,49,6.6,78.0531914893611
285,-0.177425517859724,42.6172951696853,25,2017-06-06,NA,"Spanish Pyrenees",-3.6,47,6.53,74.0955414012703
286,-0.176826009941102,42.6162628473498,25,2017-06-06,NA,"Spanish Pyrenees",-3.6,51,6.59,77.4394831
287,-0.176232260506493,42.6145643105992,25,2017-06-06,NA,"Spanish Pyrenees",-3.6,51,6.8,75.4687499999994
288,-0.177608789187828,42.6143191082452,25,2017-06-06,NA,"Spanish Pyrenees",-3.6,51,6.75,83.3481228668965
289,-0.176761684771875,42.6133707284687,25,2017-06-06,NA,"Spanish Pyrenees",-3.6,51,6.68,82.7540983606554
290,-0.147735761271268,42.609868745422,25,2017-06-19,NA,"Spanish Pyrenees",-2.9,46,6.93,71.0982658959514
291,-0.139278138791969,42.6116747727038,25,1993-07-01,NA,"Spanish Pyrenees",-2.4,45,6.86,71.1885448
292,0.541784736789025,42.622204651807,25,2017-07-09,NA,"Spanish Pyrenees",-4,51,6.74,82.8703590992084
293,0.543804398477259,42.6229885167948,25,2017-07-09,NA,"Spanish Pyrenees",-4,51,6.69,80.0233393177715
294,0.543766706666387,42.6225394721469,25,2017-07-09,NA,"Spanish Pyrenees",-4,51,6.64,78.4430616054749
295,0.531094317642561,42.6147013565581,25,2017-07-09,NA,"Spanish Pyrenees",-3,46,6.7,71.658006613131
296,0.531716421029479,42.6142769656079,25,2017-07-09,NA,"Spanish Pyrenees",-3,46,6.65,82.9463806970506
297,0.526301624200822,42.6094916174653,25,2017-07-08,NA,"Spanish Pyrenees",-3,46,6.62,75.64439145
298,0.512945205355904,42.5943880549984,25,2017-07-09,NA,"Spanish Pyrenees",-2.6,44,6.81,79.4937898
299,0.514017761888018,42.5948233472692,25,2017-07-09,NA,"Spanish Pyrenees",-2.6,44,6.7,81.09870156
300,0.473035062764272,42.5593367718868,25,2017-06-26,NA,"Spanish Pyrenees",-2.6,45,6.78,83.26374216
301,0.469154264441727,42.5598596683636,25,2017-06-26,NA,"Spanish Pyrenees",-2.6,45,6.79,81.3458331
302,0.469090363867377,42.5593663653276,25,2017-06-26,NA,"Spanish Pyrenees",-2.6,45,6.8,76.36934835
303,0.46897074308987,42.5532560263329,25,2017-06-26,NA,"Spanish Pyrenees",-1.9,44,6.78,69.188471
304,0.470253744832296,42.5528929744428,25,2017-06-26,NA,"Spanish Pyrenees",-1.9,44,6.75,76.2590773
305,0.467376419374251,42.550639044569,25,2017-06-26,NA,"Spanish Pyrenees",-1.9,44,6.79,79.09647166
306,0.657778434154876,42.5111712022078,25,2018-07-01,NA,"Spanish Pyrenees",-4,51,6.82,81.1807927
307,0.657263869561929,42.5115298080363,25,2018-07-01,NA,"Spanish Pyrenees",-4,51,6.71,80.2032363
308,0.656215838636873,42.5119234635801,25,2018-07-01,NA,"Spanish Pyrenees",-4,51,6.57,78.2040315
309,0.656113199360658,42.5097477132654,25,2018-07-01,NA,"Spanish Pyrenees",-4,51,6.56,76.5597133
310,0.6554684172651,42.5095432027578,25,2018-07-01,NA,"Spanish Pyrenees",-4,51,6.72,68.5139624
311,0.65873100118108,42.4989309830314,25,2018-07-01,NA,"Spanish Pyrenees",-4.9,55,6.59,73.1393197
312,0.660139257108874,42.4976253599222,25,2018-07-01,NA,"Spanish Pyrenees",-4.9,55,6.76,79.1790812
313,0.66365812099108,42.4976658472428,25,2018-07-01,NA,"Spanish Pyrenees",-4.9,55,6.85,68.48035763
314,0.664398089628966,42.4988757416119,25,2018-07-01,NA,"Spanish Pyrenees",-4.9,55,6.61,73.3087885
315,0.664765834449592,42.4980896009312,25,2018-07-01,NA,"Spanish Pyrenees",-4.9,55,6.72,74.475963287
316,0.665857519851143,42.4992792188521,25,2018-07-01,NA,"Spanish Pyrenees",-4.9,55,6.78,78.333837
